"codigo","nome","sexo","pais_origem","data_nascimento","raca_id","numerorgpai","numerorgmae"
"FSC00072","Touro00072","M","BR","2018-03-17","Raça 01","",""
"FSC00170","Touro00170","M","BR","2018-03-30","Raça 01","",""
"FSC00194","Touro00194","M","BR","2018-05-03","Raça 01","",""
"FSC00268","Touro00268","M","BR","2018-04-03","Raça 01","",""
"FSC00271","Touro00271","M","BR","2018-04-28","Raça 01","",""
"FSC00288","Touro00288","M","BR","2018-02-24","Raça 01","",""
"FSC00370","Touro00370","M","BR","2018-02-03","Raça 01","",""
"FSC00427","Touro00427","M","BR","2018-06-05","Raça 01","",""
"FSC00433","Touro00433","M","BR","2018-06-26","Raça 01","",""
"FSC00516","Touro00516","M","BR","2018-07-19","Raça 01","",""
"FSC00519","Touro00519","M","BR","2018-09-06","Raça 01","",""
"FSC00758","Touro00758","M","BR","2018-02-08","Raça 01","",""
"FSC00863","Touro00863","M","BR","2018-08-10","Raça 01","",""
"FSC00875","Touro00875","M","BR","2018-09-29","Raça 01","",""
"FSC00982","Touro00982","M","BR","2018-08-18","Raça 01","",""
"FSC01048","Touro01048","M","BR","2018-10-19","Raça 01","",""
"FSC01153","Touro01153","M","BR","2018-05-04","Raça 01","",""
"FSC01337","Touro01337","M","BR","2018-11-28","Raça 01","",""
"FSC01342","Touro01342","M","BR","2019-12-01","Raça 01","",""
"FSC01380","Vaca01380","F","BR","2018-01-28","Raça 01","",""
"FSC01726","Touro01726","M","BR","2018-11-27","Raça 01","",""
"FSC01742","Touro01742","M","BR","2018-09-04","Raça 01","",""
"FSC01792","Vaca01792","F","BR","2018-02-19","Raça 01","",""
"FSC01913","Touro01913","M","BR","2019-11-06","Raça 01","",""
"FSC02247","Touro02247","M","","2018-02-14","Raça 01","",""
"FSC02249","Touro02249","M","BR","2018-10-04","Raça 01","",""
"FSC02260","Touro02260","M","BR","2018-12-05","Raça 01","",""
"FSC02262","Touro02262","M","","2018-02-17","Raça 01","",""
"FSC02296","Touro02296","M","BR","2018-07-27","Raça 01","",""
"FSC02297","Touro02297","M","CA","2018-02-25","Raça 01","",""
"FSC02427","Touro02427","M","","2019-05-21","Raça 01","",""
"FSC02428","Touro02428","M","","2019-05-22","Raça 01","",""
"FSC02485","Touro02485","M","BR","2018-10-20","Raça 01","",""
"FSC02508","Touro02508","M","BR","2018-05-23","Raça 01","",""
"FSC02538","Touro02538","M","BR","2018-06-19","Raça 01","",""
"FSC02576","Touro02576","M","BR","2019-04-17","Raça 01","",""
"FSC02681","Touro02681","M","BR","2019-01-31","Raça 01","",""
"FSC03043","Touro03043","M","BR","2019-01-17","Raça 01","",""
"FSC03217","Touro03217","M","BR","2018-10-18","Raça 01","",""
"FSC03231","Touro03231","M","BR","2018-10-28","Raça 01","",""
"FSC03343","Touro03343","M","BR","2018-12-15","Raça 01","",""
"FSC03485","Touro03485","M","BR","2020-04-13","Raça 01","",""
"FSC03683","Vaca03683","F","BR","2018-12-09","Raça 01","",""
"FSC03759","Vaca03759","F","BR","2018-10-30","Raça 01","",""
"FSC03798","Vaca03798","F","BR","2018-02-14","Raça 01","",""
"FSC03839","Touro03839","M","BR","2018-08-01","Raça 01","",""
"FSC03888","Touro03888","M","BR","2018-04-03","Raça 01","",""
"FSC03929","Touro03929","M","BR","2018-03-20","Raça 01","",""
"FSC03930","Touro03930","M","BR","2018-10-04","Raça 01","",""
"FSC03979","Touro03979","M","BR","2018-04-29","Raça 01","",""
"FSC04000","Touro04000","M","BR","2018-02-25","Raça 01","",""
"FSC04001","Touro04001","M","BR","2018-02-24","Raça 01","",""
"FSC04047","Touro04047","M","BR","2018-11-27","Raça 01","",""
"FSC04056","Vaca04056","F","BR","2018-02-20","Raça 01","",""
"FSC04075","Touro04075","M","","2018-04-22","Raça 01","",""
"FSC04077","Touro04077","M","","2018-04-19","Raça 01","",""
"FSC04078","Touro04078","M","","2018-05-20","Raça 01","",""
"FSC04079","Touro04079","M","","2018-05-29","Raça 01","",""
"FSC04080","Touro04080","M","","2018-06-19","Raça 01","",""
"FSC04178","Touro04178","M","BR","2018-05-19","Raça 01","",""
"FSC04179","Touro04179","M","BR","2018-04-10","Raça 01","",""
"FSC04212","Touro04212","M","BR","2018-11-06","Raça 01","",""
"FSC04221","Touro04221","M","BR","2018-09-29","Raça 01","",""
"FSC04235","Touro04235","M","CA","2018-01-02","Raça 01","",""
"FSC04243","Touro04243","M","","2018-01-30","Raça 01","",""
"FSC04246","Touro04246","M","BR","2018-07-27","Raça 01","",""
"FSC04247","Touro04247","M","BR","2019-05-13","Raça 01","",""
"FSC04329","Touro04329","M","","2018-04-01","Raça 01","",""
"FSC04336","Touro04336","M","","2018-09-01","Raça 01","",""
"FSC04338","Touro04338","M","","2018-09-01","Raça 01","",""
"FSC04345","Touro04345","M","BR","2019-07-04","Raça 01","",""
"FSC04354","Touro04354","M","","2018-03-30","Raça 01","",""
"FSC04355","Touro04355","M","CA","2018-02-04","Raça 01","",""
"FSC04380","Touro04380","M","BR","2019-02-06","Raça 01","",""
"FSC04385","Touro04385","M","","2018-01-31","Raça 01","",""
"FSC04386","Touro04386","M","","2018-04-23","Raça 01","",""
"FSC04388","Touro04388","M","","2018-03-04","Raça 01","",""
"FSC04389","Touro04389","M","","2018-01-20","Raça 01","",""
"FSC04400","Touro04400","M","","2018-03-16","Raça 01","",""
"FSC04403","Touro04403","M","","2018-01-19","Raça 01","",""
"FSC04404","Touro04404","M","","2018-02-23","Raça 01","",""
"FSC04405","Touro04405","M","","2018-06-08","Raça 01","",""
"FSC04406","Touro04406","M","","2018-05-18","Raça 01","",""
"FSC04415","Touro04415","M","","2018-02-21","Raça 01","",""
"FSC04416","Touro04416","M","","2018-01-23","Raça 01","",""
"FSC04418","Touro04418","M","","2018-07-02","Raça 01","",""
"FSC04419","Touro04419","M","","2018-01-01","Raça 01","",""
"FSC04420","Touro04420","M","","2018-06-28","Raça 01","",""
"FSC04421","Touro04421","M","","2018-05-19","Raça 01","",""
"FSC04441","Touro04441","M","","2018-02-18","Raça 01","",""
"FSC04467","Touro04467","M","CA","2018-04-18","Raça 01","",""
"FSC04468","Touro04468","M","","2019-03-03","Raça 01","",""
"FSC04469","Touro04469","M","","2019-06-04","Raça 01","",""
"FSC04473","Touro04473","M","","2019-04-19","Raça 01","",""
"FSC04474","Touro04474","M","","2019-04-21","Raça 01","",""
"FSC04493","Touro04493","M","CA","2018-06-27","Raça 01","",""
"FSC04499","Touro04499","M","","2018-04-27","Raça 01","",""
"FSC04513","Touro04513","M","","2018-05-21","Raça 01","",""
"FSC04516","Touro04516","M","","2018-06-30","Raça 01","",""
